frame_num,player_id,x,y
1,1,43.39,49.67
1,2,51.61,92.58
1,3,94.17,32.59
1,4,12.23,27.16
1,5,10.91,95.75
2,1,55.26,95.89
2,2,51.87,96.59
2,3,32.43,2.2
2,4,3.63,49.61
2,5,19.01,23.39
3,1,50.23,89.22
3,2,31.95,11.82
3,3,3.68,72.37
3,4,41.79,22.11
3,5,83.93,2.18
4,1,71.45,75.84
4,2,62.57,2.76
4,3,37.35,23.45
4,4,93.25,92.39
4,5,53.07,49.99
5,1,31.85,80.57
5,2,33.21,45.98
5,3,87.66,77.86
5,4,97.35,78.47
5,5,96.35,37.96
6,1,51.85,12.0
6,2,32.43,64.31
6,3,31.34,99.63
6,4,57.38,79.32
6,5,80.43,80.6
7,1,67.83,67.47
7,2,72.55,86.71
7,3,76.48,7.76
7,4,17.19,33.56
7,5,57.1,14.88
8,1,92.43,35.89
8,2,26.3,95.81
8,3,25.79,42.17
8,4,65.62,67.03
8,5,92.65,31.77
9,1,13.24,50.57
9,2,10.99,71.93
9,3,75.1,31.28
9,4,80.81,5.55
9,5,15.54,9.62
10,1,63.55,79.41
10,2,23.34,63.51
10,3,45.95,13.31
10,4,90.5,6.13
10,5,59.82,75.18
11,1,60.2,2.36
11,2,10.63,3.47
11,3,97.91,89.83
11,4,49.66,46.33
11,5,73.05,39.77
12,1,97.01,5.54
12,2,8.59,13.85
12,3,92.73,12.41
12,4,86.21,4.46
12,5,85.95,54.42
13,1,3.23,73.33
13,2,58.1,50.11
13,3,47.35,15.96
13,4,30.24,67.86
13,5,73.34,77.31
14,1,78.78,40.19
14,2,87.41,41.7
14,3,99.23,28.75
14,4,7.99,34.35
14,5,40.64,48.2
15,1,58.68,13.15
15,2,92.1,41.95
15,3,2.8,39.19
15,4,30.16,20.55
15,5,11.9,34.34
16,1,34.58,9.52
16,2,83.37,41.92
16,3,52.69,36.72
16,4,84.19,77.16
16,5,95.66,33.14
17,1,63.58,93.81
17,2,49.25,34.04
17,3,56.47,2.36
17,4,44.07,96.19
17,5,35.76,9.37
18,1,38.55,59.54
18,2,2.17,79.19
18,3,49.45,42.09
18,4,66.24,95.86
18,5,71.68,20.66
19,1,54.61,11.93
19,2,81.83,55.77
19,3,10.13,28.41
19,4,57.59,12.47
19,5,91.83,52.48
20,1,39.9,50.38
20,2,36.94,22.81
20,3,78.17,39.64
20,4,91.13,96.51
20,5,6.32,3.46
21,1,10.66,89.42
21,2,64.35,82.77
21,3,50.89,1.13
21,4,39.46,10.58
21,5,66.82,51.25
22,1,99.01,52.25
22,2,1.39,80.89
22,3,82.36,2.12
22,4,17.39,80.8
22,5,84.43,81.44
23,1,40.26,33.14
23,2,7.39,3.92
23,3,93.33,66.26
23,4,83.35,50.45
23,5,48.7,14.6
24,1,58.8,98.72
24,2,94.98,94.92
24,3,45.43,8.49
24,4,49.54,40.84
24,5,56.25,75.48
25,1,58.56,22.44
25,2,76.89,25.25
25,3,25.12,65.23
25,4,19.91,81.17
25,5,34.14,5.31
26,1,96.23,70.63
26,2,36.86,77.12
26,3,68.95,46.32
26,4,73.67,94.46
26,5,5.11,42.62
27,1,77.97,11.6
27,2,70.77,96.6
27,3,32.02,25.73
27,4,67.23,48.95
27,5,98.34,72.92
28,1,39.49,54.83
28,2,32.84,37.8
28,3,57.1,46.34
28,4,89.08,17.41
28,5,6.98,19.17
29,1,18.14,92.25
29,2,31.94,74.84
29,3,58.33,20.37
29,4,7.42,29.82
29,5,98.14,35.52
30,1,52.48,4.31
30,2,42.94,59.92
30,3,89.93,26.4
30,4,78.28,63.66
30,5,64.05,7.85
31,1,89.46,0.08
31,2,20.61,41.77
31,3,93.64,21.39
31,4,45.75,15.56
31,5,97.05,44.35
32,1,11.81,81.57
32,2,66.11,19.69
32,3,24.49,81.61
32,4,19.82,6.45
32,5,30.69,9.35
33,1,32.51,91.34
33,2,27.63,0.58
33,3,51.19,93.65
33,4,45.13,12.59
33,5,28.42,81.4
34,1,26.55,22.1
34,2,91.8,51.23
34,3,55.3,40.15
34,4,55.78,69.25
34,5,52.29,22.25
35,1,88.06,47.32
35,2,85.49,55.55
35,3,82.51,40.14
35,4,63.26,14.28
35,5,10.01,38.08
36,1,98.76,62.05
36,2,28.82,5.29
36,3,55.75,48.74
36,4,47.6,50.92
36,5,73.66,43.82
37,1,38.76,77.67
37,2,12.79,79.23
37,3,96.05,91.23
37,4,61.22,36.87
37,5,27.64,4.04
38,1,45.09,26.15
38,2,73.52,66.44
38,3,75.66,25.07
38,4,41.74,25.1
38,5,91.58,2.88
39,1,24.02,6.5
39,2,62.39,62.33
39,3,79.52,30.2
39,4,33.54,71.0
39,5,82.0,83.14
40,1,24.54,99.4
40,2,36.34,83.38
40,3,16.97,35.71
40,4,87.46,73.5
40,5,15.77,66.47
41,1,72.88,71.29
41,2,0.6,16.87
41,3,15.82,68.45
41,4,77.24,33.64
41,5,57.99,48.77
42,1,41.27,9.69
42,2,93.41,68.55
42,3,98.35,99.81
42,4,73.17,97.35
42,5,45.37,35.19
43,1,12.55,1.8
43,2,80.34,67.02
43,3,41.34,24.25
43,4,88.43,7.01
43,5,39.44,96.05
44,1,79.6,52.09
44,2,80.57,15.78
44,3,64.76,47.89
44,4,67.85,62.42
44,5,79.76,29.88
45,1,59.07,30.14
45,2,74.61,97.2
45,3,47.14,4.26
45,4,90.88,79.25
45,5,89.26,36.88
46,1,85.04,32.69
46,2,23.96,71.71
46,3,15.43,61.96
46,4,56.01,77.29
46,5,57.53,83.01
47,1,85.59,52.88
47,2,0.97,20.37
47,3,55.04,71.64
47,4,65.39,15.49
47,5,45.83,99.13
48,1,55.7,52.52
48,2,71.57,97.92
48,3,62.57,19.74
48,4,40.97,30.41
48,5,58.58,39.2
49,1,53.87,96.81
49,2,86.28,95.36
49,3,46.22,27.29
49,4,73.33,32.26
49,5,57.52,29.35
50,1,83.94,68.99
50,2,84.66,48.47
50,3,38.37,8.19
50,4,22.16,93.66
50,5,61.67,80.7
