frame_num,player_id,x,y
1,1,10.00,20.00
1,2,30.00,80.00
1,3,70.00,60.00
1,4,85.00,25.00
1,5,50.00,50.00
2,1,11.20,21.10
2,2,29.10,78.80
2,3,69.30,58.90
2,4,83.80,26.00
2,5,51.50,49.20
3,1,12.40,22.30
3,2,28.20,77.50
3,3,68.60,57.70
3,4,82.60,27.10
3,5,53.00,48.30
4,1,13.60,23.40
4,2,27.40,76.10
4,3,67.90,56.40
4,4,81.50,28.30
4,5,54.40,47.50
5,1,14.90,24.60
5,2,26.70,74.60
5,3,67.10,55.10
5,4,80.40,29.60
5,5,55.70,46.80
6,1,16.30,25.80
6,2,26.10,73.00
6,3,66.30,53.80
6,4,79.20,30.90
6,5,56.90,46.20
7,1,17.80,27.10
7,2,25.60,71.30
7,3,65.40,52.50
7,4,78.00,32.10
7,5,58.00,45.70
8,1,19.40,28.50
8,2,25.20,69.50
8,3,64.50,51.20
8,4,76.70,33.20
8,5,59.00,45.30
9,1,21.10,30.00
9,2,24.90,67.60
9,3,63.60,49.90
9,4,75.40,34.20
9,5,59.90,45.00
10,1,22.90,31.60
10,2,24.70,65.60
10,3,62.70,48.70
10,4,74.00,35.10
10,5,60.70,44.80
11,1,24.80,33.30
11,2,24.60,63.50
11,3,61.80,47.60
11,4,72.60,35.90
11,5,61.40,44.70
12,1,26.80,35.10
12,2,24.60,61.30
12,3,60.80,46.60
12,4,71.10,36.60
12,5,62.00,44.70
13,1,28.90,37.00
13,2,24.70,59.00
13,3,59.80,45.70
13,4,69.50,37.20
13,5,62.50,44.80
14,1,31.10,39.00
14,2,24.90,56.60
14,3,58.80,44.90
14,4,67.80,37.70
14,5,62.90,45.00
15,1,33.40,41.10
15,2,25.20,54.10
15,3,57.80,44.20
15,4,66.00,38.10
15,5,63.20,45.30
16,1,35.80,43.30
16,2,25.60,51.50
16,3,56.80,43.60
16,4,64.10,38.40
16,5,63.40,45.70
17,1,38.30,45.60
17,2,26.10,48.80
17,3,55.80,43.10
17,4,62.10,38.60
17,5,63.50,46.20
18,1,40.90,48.00
18,2,26.70,46.00
18,3,54.80,42.70
18,4,60.00,38.70
18,5,63.50,46.80
19,1,43.60,50.50
19,2,27.40,43.10
19,3,53.90,42.40
19,4,57.80,38.70
19,5,63.40,47.50
20,1,46.40,53.10
20,2,28.20,40.10
20,3,53.00,42.20
20,4,55.50,38.60
20,5,63.20,48.30
21,1,49.30,55.80
21,2,29.10,37.00
21,3,52.10,42.10
21,4,53.10,38.40
21,5,62.90,49.20
22,1,52.30,58.60
22,2,30.10,33.80
22,3,51.30,42.10
22,4,50.60,38.10
22,5,62.50,50.20
23,1,55.40,61.50
23,2,31.20,30.50
23,3,50.50,42.20
23,4,48.00,37.70
23,5,62.00,51.30
24,1,58.60,64.50
24,2,32.40,27.10
24,3,49.80,42.40
24,4,45.30,37.20
24,5,61.40,52.50
25,1,61.90,67.60
25,2,33.70,23.60
25,3,49.10,42.70
25,4,42.50,36.60
25,5,60.70,53.80
26,1,65.30,70.80
26,2,35.10,20.00
26,3,48.50,43.10
26,4,39.60,35.90
26,5,59.90,55.20
27,1,68.80,74.10
27,2,36.60,16.30
27,3,48.00,43.60
27,4,36.60,35.10
27,5,59.00,56.70
28,1,72.40,77.50
28,2,38.20,12.50
28,3,47.60,44.20
28,4,33.50,34.20
28,5,58.00,58.30
29,1,76.10,81.00
29,2,39.90,8.60
29,3,47.30,44.90
29,4,30.30,33.20
29,5,56.90,60.00
30,1,79.90,84.60
30,2,41.70,4.60
30,3,47.10,45.70
30,4,27.00,32.10
30,5,55.70,61.80
31,1,83.80,88.30
31,2,43.60,1.00
31,3,47.00,46.60
31,4,23.60,30.90
31,5,54.40,63.70
32,1,87.80,92.10
32,2,45.60,3.80
32,3,47.00,47.60
32,4,20.10,29.60
32,5,53.00,65.70
33,1,91.90,96.00
33,2,47.70,7.70
33,3,47.10,48.70
33,4,16.50,28.20
33,5,51.50,67.80
34,1,96.10,99.80
34,2,49.90,11.60
34,3,47.30,49.90
34,4,12.80,26.70
34,5,49.90,70.00
35,1,99.90,95.80
35,2,52.20,15.40
35,3,47.60,51.20
35,4,9.00,25.10
35,5,48.20,72.30
36,1,95.80,91.70
36,2,54.60,19.10
36,3,48.00,52.60
36,4,5.10,23.40
36,5,46.40,74.70
37,1,91.60,87.50
37,2,57.10,22.70
37,3,48.50,54.10
37,4,1.10,21.60
37,5,44.50,77.20
38,1,87.30,83.20
38,2,59.70,26.20
38,3,49.10,55.70
38,4,3.80,19.70
38,5,42.50,79.80
39,1,82.90,78.80
39,2,62.40,29.60
39,3,49.80,57.40
39,4,6.60,17.70
39,5,40.40,82.50
40,1,78.40,74.30
40,2,65.20,32.90
40,3,50.60,59.20
40,4,9.50,15.60
40,5,38.20,85.30
41,1,73.80,69.70
41,2,68.10,36.10
41,3,51.50,61.10
41,4,12.50,13.40
41,5,35.90,88.20
42,1,69.10,65.00
42,2,71.10,39.20
42,3,52.50,63.10
42,4,15.60,11.10
42,5,33.50,91.20
43,1,64.30,60.20
43,2,74.20,42.20
43,3,53.60,65.20
43,4,18.80,8.70
43,5,31.00,94.30
44,1,59.40,55.30
44,2,77.40,45.10
44,3,54.80,67.40
44,4,22.10,6.20
44,5,28.40,97.50
45,1,54.40,50.30
45,2,80.70,47.90
45,3,56.10,69.70
45,4,25.50,3.60
45,5,25.70,99.00
46,1,49.30,45.20
46,2,84.10,50.60
46,3,57.50,72.10
46,4,29.00,1.00
46,5,22.90,96.40
47,1,44.10,40.00
47,2,87.60,53.20
47,3,59.00,74.60
47,4,32.60,3.80
47,5,20.00,93.70
48,1,38.80,34.70
48,2,91.20,55.70
48,3,60.60,77.20
48,4,36.30,6.70
48,5,17.00,90.90
49,1,33.40,29.30
49,2,94.90,58.10
49,3,62.30,79.90
49,4,40.10,9.70
49,5,13.90,88.00
50,1,28.00,23.80
50,2,98.70,60.40
50,3,64.10,82.70
50,4,44.00,12.80
50,5,10.70,85.00
